"Country","POW","IC","MASC","UA","LSO","INDUL","harmony","embedded","hierarchy","mastery","aff.auton","intel.auton","egalitar"
"Argentina",49,46,56,86,NA,NA,3.98,3.52,2.1,3.92,3.73,4.34,4.96
"Austria",11,55,79,70,31,NA,4.31,3.11,1.75,3.92,4.29,4.9,4.89
"Belgium",65,75,54,94,82,57,4.35,3.25,1.69,3.84,3.94,4.64,5.2
"Bolivia",NA,NA,NA,NA,NA,NA,4.11,4.07,2.66,3.87,2.71,4.34,4.74
"Brazil",69,38,49,76,44,59,4.03,3.62,2.37,3.93,3.52,4.27,4.89
"Bulgaria",70,30,40,85,69,16,4.13,3.87,2.68,4.02,3.47,4.29,4.13
"Chile",63,23,28,86,31,68,4.33,3.64,2.25,3.78,3.03,4.32,5.06
"China",80,20,66,30,87,24,3.78,3.74,3.49,4.41,3.3,4.18,4.23
"Colombia",67,13,64,80,NA,NA,3.66,3.86,2.9,4.03,3.61,4.3,4.69
"Cyprus",NA,NA,NA,NA,NA,70,4.01,4.04,1.96,3.95,3.21,3.83,4.85
"Denmark",18,74,16,23,35,70,4.16,3.19,1.86,3.91,4.3,4.77,5.03
"Egypt",NA,25,NA,NA,NA,NA,3.98,4.45,2.2,3.66,2.5,3.9,4.42
"Ethiopia",NA,20,NA,NA,NA,NA,4.31,3.81,2.04,3.79,3.36,4.23,4.58
"Estonia",40,60,30,60,NA,NA,4.19,4.54,2.33,3.79,2.61,3.94,4.4
"Fiji",NA,14,NA,NA,NA,NA,3.83,4.33,2.58,3.77,3.2,3.85,4.67
"Finland",33,63,26,59,38,57,4.34,3.37,1.8,3.66,3.96,4.93,4.9
"France",68,71,43,86,63,48,4.21,3.2,2.21,3.72,4.39,5.13,5.05
"Georgia",NA,NA,NA,NA,NA,NA,4.09,4.12,2.46,3.73,3.47,4,4.66
"Ghana",NA,15,NA,NA,4,72,3.53,4.27,2.68,4.12,2.49,3.89,4.73
"Greece",60,35,57,112,45,50,4.4,3.41,1.83,4.25,3.92,4.39,4.84
"Hungary",46,80,88,82,50,NA,4.34,3.6,1.94,3.73,3.63,4.57,4.51
"India",77,48,56,40,51,26,3.92,3.97,3.05,4.28,3.48,4.02,4.45
"Indonesia",78,14,46,48,NA,NA,3.82,4.27,2.56,3.84,3.41,3.94,4.32
"Iran",58,41,43,59,14,40,3.69,4.18,3.23,3.91,2.97,3.96,4.53
"Ireland",28,70,68,35,24,65,3.77,3.41,2.09,4.04,4.05,4.54,4.9
"Italy",50,76,70,75,61,30,4.62,3.46,1.6,3.81,3.3,4.91,5.27
"Japan",54,46,95,92,88,42,4.21,3.49,2.65,4.06,3.76,4.78,4.36
"Jordan",NA,30,NA,NA,NA,NA,3.67,4.2,2.5,4.2,3.36,4.05,4.4
"Latvia",44,70,9,63,69,13,4.46,3.83,1.8,3.75,3.48,4.22,4.32
"Macedonia",NA,NA,NA,NA,62,35,4.03,3.91,2.72,4,3.01,4.24,4.4
"Malaysia",104,26,50,36,41,57,3.65,4.35,2.25,3.91,2.98,4.15,4.41
"Mexico",81,30,69,82,24,97,4.5,3.9,2.13,3.9,2.83,4.36,4.73
"Namibia",NA,30,NA,NA,NA,NA,3.74,4.04,2.53,4.06,3.29,4.03,4.48
"Nepal",NA,30,NA,NA,NA,NA,4.34,4.18,3.03,4.13,2.99,4.07,4.63
"Netherlands",38,80,14,53,67,68,4.05,3.19,1.91,3.97,4.13,4.85,5.03
"Nigeria",80,30,60,55,13,84,3.75,4.41,2.72,3.9,2.54,3.66,4.79
"Norway",31,69,8,50,35,55,4.4,3.45,1.49,3.85,3.69,4.68,5.12
"Pakistan",55,14,50,70,0,NA,3.99,4.31,2.44,4,3.11,3.76,4.65
"Peru",64,16,42,87,NA,NA,3.71,3.92,2.76,4.08,2.98,4.3,4.84
"Philippines",94,32,64,44,19,NA,4.04,4.03,2.68,3.76,3,3.95,4.59
"Poland",68,60,64,93,32,NA,3.86,3.86,2.51,3.84,3.32,4.31,4.48
"Portugal",63,27,31,104,30,NA,4.27,3.43,1.89,4.11,3.62,4.53,5.21
"Romania",90,30,42,90,NA,NA,4.11,3.78,2,4.06,3.45,4.61,4.48
"Russia",93,39,36,95,81,20,3.9,3.81,2.72,3.96,3.51,4.3,4.38
"Serbia",NA,25,NA,NA,NA,NA,3.96,3.57,1.61,4.03,3.7,4.72,4.44
"Singapore",74,20,48,8,48,NA,3.76,4,2.82,3.88,3.3,3.86,4.6
"Slovenia",NA,27,NA,NA,NA,NA,4.47,3.82,2,3.83,2.99,4.29,4.58
"Slovakia",104,52,110,51,38,NA,4.45,3.71,1.62,3.71,3.72,4.88,4.56
"Spain",57,51,42,86,48,44,4.47,3.31,1.84,3.8,3.67,4.99,5.23
"Sweden",31,71,5,29,53,78,4.46,3.12,1.83,3.81,4.24,5.09,4.9
"Taiwan",58,17,45,69,93,49,4.12,3.82,2.69,4,3.27,4.36,4.31
"Thailand",64,20,34,64,56,NA,3.84,4.02,3.23,3.88,3.63,4.02,4.29
"Turkey",66,37,45,85,46,49,4.23,3.77,2.97,3.98,3.37,4.45,4.77
"Venezuela",81,12,73,76,NA,NA,3.99,3.74,2.09,4.01,3.26,4.44,4.77
"Zimbabwe",NA,NA,NA,NA,NA,NA,3.62,4.04,2.67,4.19,3.6,3.8,4.3
