country,educ,v1.1,v1.2,v1.3,v1.5,v1.7,v1.4.1,v1.4.2,v1.4.3,v1.4.4,v1.4.5,v1.4.6,v1.6.1,v1.6.2,v1.6.3,v1.6.4,v1.6.5,v1.6.6,v1.6.7,v1.6.8,v1.8.1,v1.8.2,v1.8.3,v1.8.4,v1.8.5,v1.8.6,v2.1,v2.2,v2.3,v2.4,v2.5,v2.6,v2.7,v2.8,v2.2.1,v2.2.2,v2.2.3,v2.2.4,v3.3,v3.4,v3.5,v3.6,v3.7,v3.8,v3.9,v3.10,v3.11,v3.12,v3.13,v3.14,v3.1.1,v3.1.2,v3.1.3,v3.1.4,v3.1.5,v3.1.6,v3.15.1,v3.15.2,v3.15.3,v3.15.4,v3.15.5,v3.15.6,v4.1,v4.2,v4.3,v4.4,v4.5,v4.6,v4.7,v5.1,v5.2,v5.3,v6.1,v6.2,v6.3,v6.4,v6.5,v6.6,v6.7,v6.8,v6.9,v6.10,v7.1,v7.2,v7.3,v7.4,v7.5,v7.6,v7.7,v7.8,v7.9,v7.10,v7.11,v7.12,v7.13,v7.14,v7.15,v7.16,v7.17,v7.18,v7.19,v7.20,v7.21,v7.22,v7.23,v7.24,v7.25,v7.26,v7.27,v7.28,v7.29,v7.30,v7.31,v7.32,v7.33,v7.34,v7.35,v7.36,v7.37,v7.38,v7.39,v7.40,v7.41,v7.42,v7.43,v7.44,v7.45,v7.46,v7.47,v7.48,v7.49,v7.50,v7.51,v7.52,v7.53,v7.54,v7.55,v7.56,v7.57,v8.1,v8.2,v8.3,v8.4,v8.5,v8.6,v8.7,v8.8,v8.9,v8.10,v8.11,v8.12,eng,swe,nl,sp,FAC1_1,mean_int
1,1,4,1,1,2, ,1,1,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , ,2,4,2,2, , , , ,5,5,1,3,3,3,4,1,2,6,2,6,6,3,6,5,1,1,1,4,4,4, ,1, , , , ,5,3,1,5,5,5,7,4,5,4, , , , , , ,1,4,1,1,6,2,5,6,6,2,6,3,6,6,4,6,5,6,6,6,6,4,2,4,6,6,2,0,4,6,5,7,2,5,6,6,6,4,6,6,0,3,5,6,6,6,6,3,7,6,4,6,6,6,5,6,1,6,6,2,6,1,16,1,2,2, ,1,1,1,7,1, ,1,0,0,0,1.21086552876345,4.33333333333333
1,1,1,2,1,2, ,1,1,0,0,0,1,1,1,1,1,1,0,1,0, , , , , , ,1,2,4,4, , , , ,1, ,1,6, , , , , , , , , , , , ,6,4,1,2,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,0,0,0, , 
1,1,1,1,1,2, ,1,1,0,1,0,1,0,1,1,1,0,0,1,0, , , , , , ,2,4,3,4, , , , ,5,3,5,2,3,5,5,2,1,6,6,3,3,5,3,3,2,2,2,4,6,6,5,6,4,3,2,1,6,6,6,6,3,6,6,5,5,4,6,2,5,2,1,1,1,2,1,2,6,6,0,5,6,6,6,4,5,6,5,3,5,6,4,2,6,3,6,4,6,7,6,5,6,5,1,6,2,6,5,4,6,6,6,6,4,4,4,3,6,6,6,6,6,0,3,6,6,7,2,6,3,6,6,4,5,1,16,1,2,2, ,1,1,2,1,2, ,1,0,0,0,.951696712980229,4.66666666666667
1,1, ,2,1,2, ,0,0,0,0,1,0,0,0,1,0,0,0,0,0, , , , , , ,1,2,3,4, , , , ,4,3,2,1,4,4,4,4,4,4,4,4,2,4,4,4,1,1,1,1,1,1,2,1,6,5,4,3,1,1,1,1,1,1,1,1,1,1,5,5,3,3,2,1,1,1,1,1,2,1,0,5,5,2,3,2,3,2,3,3,3,2,3,5,4,4,3,3,5,4,4,3,3,3,3,5,2,2,3,3,4,4,4,4,2,3,2,4,3,3,3,2,5,2,3,5,2,5,4,5,5,4,3,4,2,1,16,1,2,2, ,1,1,2,1,2, ,1,0,0,0,-.714826821115348,1
1,1,1,1,1,2, ,1,1,0,0,0,1,1,0,1,1,0,0,0,1, , , , , , ,2,2,6,5, , , , ,7,5,5,6,4,5,5,5,1,3,2,5,5,5,6,5,3,3,3,3,5,5,4,6,1,5,3,2,5,5,5,5,3,6,6,5,5,3,2,3,6,3,3,2,2,2,2,2,7,6,4,5,5,6,3,4,4,3,3,3,2,4,3,3,3,4,5,3,4,6,5,4,3,3,3,2,2,3,3,4,3,3,4,3,2,2,2,5,4,5,4,3,4,3,3,3,5,5,7,4,2,3,4,3,2,1,17,1,2,2, ,2,1,2,3,2, ,1,0,0,0,-.883173935392943,4.33333333333333
1,1,1,2,1,2, ,1,1,0,0,0,1,1,0,0,0,0,0,1,0, , , , , , ,1,2,3,3, , , , ,4,4,4,4,2,2,2,2,2,4,3,4,4,4,4,4,1,1,1,1,1,1, , , , , , ,3,1,1,1,1,1,1,2,2,2,2,3,3,3,2,2,1,1,1,1,6,4,6,4,4,6,6,6,7,6,6,2,5,1,4,7,6,5,6,6,6,6,6,6,7,6,5,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,2,17,1,1,1,2,1,1,3,1,2, ,1,0,0,0,.951696712980229,2
1,1,1,2, ,2, ,1,1,0,0,0,1,1,0,0,0,0,0,0,0, , , , , , ,2,3,4,4, , , , ,3,3,3,3,4,4,4,4,1,3,5,4,4,4,5,3,4,4,4,4,4,4, , , , , ,1,5,3,3,3,2,3,3,3,3,3,2,1,1,5,1,3,1,2,2,3,7,7,3,7,3,2,5,2,6,7,6,2,3,3,2,6,7,6,6,6,6,7,7,6,5,5,2,7,2,6,5,4,5,4,4,4,3,2,3,4,5,7,6,5,7,5,4,7,6,7,6,7,6,7,7,7,7,2,17,1,2,2, ,1,1,2,6,2, ,1,0,0,0,1.37341223858589,3
1,1,1,1,1,2, ,1,1,0,0,0,0,0,0,1,1,0,0,0,0, , , , , , ,1,1,2,2, , , , ,4,2,5,3,4,4,2,1,1,4,4,4,4,5,4,4,2,1,1,1,1,1,2,1,5,6,4,3,3,3,1,3,1,3,1,1,1,1,2,5,5,3,1,1,1,1,1,1,6,5,1,4,6,2,2,4,5,4,5,4,6,5,5,4,5,4,4,5,3,5,3,3,4,6,4,7,5,5,5,4,5,4,5,4,5,4,4,5,5,5,5,4,5,3,4,4,5,5,2,4,3,4,4,4,4,1,17,1,2,2, ,1,1,2,7,2, ,1,0,0,0,-.231712470560506,1
1,1,1,2,1,2, ,0,1,0,0,0,0,0,1,0,0,0,0,0,1, , , , , , ,1,3,5,4, , , , ,6,6,6,6,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,4,4,4, , ,1, , , ,7,7,4,7,1,7,7,5,4,3,3,1,5,4,1,2,1,1,2,2,5,5,7,6,7,7,6,7,6,-1,6,-1,7,6,6,7,7,7,6,3,7,7,7,2,3,4,7,6,2,7,7,7,6,6,7, , , , , , , , , , , , ,2, , , , , , , , , ,1,17,1,2,2, ,1,1,4,1,2, ,1,0,0,0, ,4
1,1,2,1,1,2, ,0,0,0,0,1,0,1,0,1,0,1,0,0,0, , , , , , ,2,1,4,4, , , , ,5,2,4,6,4,4,5,3,2,2,3,5,3,4,5,5,4,5,3,4,7,7,1,2,6,3,4,5,4,4,3,5,2,7,6,5,3,3,4,2,5,4,2,2,2,2,5,5,7,7,3,6,7,2,3,3,7,7,3,7,7,7,5,5,7,6,7,7,7,7,5,3,5,5,6,7,5,6,6,4,6,6,6,6,6,3,5,5,5,6,5,6,5,3,3,7,5,7,3,4,4,5,7,6,5,1,17,1,2,2, ,1,1,2,2,2, ,1,0,0,0,.0202099573060052,3.66666666666667
1,1,1,1,1,2, ,1,1,0,0,0,1,0,0,1,1,0,0,1,0, , , , , , ,3,4,5,6, , , , ,5,3, ,6,4,4,4,4,4,4,4,4,4,4,4,4,5,3,2,4,4,4,1,5,6,3,4,2,7,5,3,3,3,5,7,4,4,4,3,3,3,3,3,3,4,4,4,4,4,2,-1,0,4,3,5,4,3,2,4,4,5,4,3,3,6,5,7,6,6,6,3,4,5,6,5,6,4,5,4,5,6,4,5,4,4,4,0,5,4,3,4,-1,6,4,3,4,4,7,6,4,5,6,4,5,5,2,16,1,2,2, ,1,1,1,9,2, ,1,0,0,0,.212894695208529,4
1,1,2,1,1,2, ,0,0,0,0,1,0,0,0,1,0,0,0,0,0, , , , , , ,2,2,5,5, , , , ,6,3,4,6,5,5,5,2,2,1,3,3,5,5,4,4,4,4,4,5,6,6, , , , ,1, ,6,2,2,2,2,6,6,7,7,4,1,1,1,4,4,4,3,2,5,4,7,5,4,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,4,5,3,3,4,7,7,6,7,6,6,6,7,7,7,3,7,7,7,7,7,7,1,16,1,2,2, ,1,1,2,1,2, ,1,0,0,0,1.29227970736717,6
1,1,1,2,1,2, ,1,1,0,0,0,1,1,0,1,1,0,0,0,0, , , , , , ,1,4,4,4, , , , ,4,4,2,2,2,2,2,2,1,4,4,4,4,4,4,4,2,2,2,2,2,2,1,5,6,4,2,3,7,4,1,4,1,7,7,1,1,1,5,5,1,1,1,1,1,1,1,1,5,3,3,7,6,3,3,3,6,2,3,6,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,4,2,3,7,3,3,2,2,2,3,2,1,2,6,5,2,2,2,2,2,3,3,7,2,2,3,3,3,3,3,2,17,1,2,2, ,1,1,1,11,3, ,1,0,0,0,-2.14031358473108,1
1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,1,3,5,3,3,2,2,3,1,1,1,1,1,1, , , , , , ,5,6,6,6,1,7,7,1,2,2,2,4,4,4,4,4,3,4,4,4,1,4,1,6,7,2,4,3,7,7, ,2,2,1,1,7,7,1,7,4,4,0,3,2,3,0,2,7,7,7,7,0,0,7,7,3,7,0,7,5,7,7,7,0,7,4,2,7,5,7,2,2,7,7,7,2,7,1,17,1,2,2, ,1,1,3,1,3, ,1,0,0,0,-.463298773498918,1.66666666666667
1,1,1,2,1,2, ,1,1,0,0,1,1,0,0,0,0,1,0,0,0, , , , , , ,1,1,3,3, , , , ,1,2,1,1,1,1,1,1,2,6,5,4,3,4,3,4,1,1,1,2,3,3,3,2,5,4,6,1,3,2,1,1,1,3,2,2,1,1,3,2,3,2,1,1,1,1,1,1,3,4,3,4,4,4,4,3,4,4,4,3,3,4,2,5,4,2,3,3,5,5,3,3,3,3,3,4,4,3,4,2,3,3,3,3,3,4,3,2,3,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,3,2,18,1,2,2, ,1,1,2,1,3, ,1,0,0,0,-1.31905902215949,1.33333333333333
1,1,1,2,1,2, ,1,1,0,0,0,0,0,0,1,1,1,0,0,0, , , , , , ,2,3,3,3, , , , ,3,3,3,4,4,4,4,4,4,4,3,3,5,2,3,5,3,4,3,5,3,5, , , , , , ,2,4,5,3,4,3,4,3,3,3,2,2,2,2,2,5,6,3,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,0,0,0, ,3
